cid,text,amp_prob,reason
7095112708009460482,Jusko! Goosebumps 🥰 ipanalo natin to ❤️💚,0.8,"Emotional manipulation: ""goosebumps"""
7095097977307972378,Tama walang tulugan baka ma gaya na naman 6 years ago. congratulations in advance #BBMSARAH❤️💚,0.1,Substantial text - appears genuine
7095112283823031042,kitang kita sa kanya ang pagmamahal niya sa flag ng pilipinas at sa mga tao🥺🥰,0.1,Substantial text - appears genuine
7095059795132384002,panalo na tlga bbm-sarah🙏🙏🙏,0.2,Neutral - no clear amplification indicators
7095112922804437761,Love you President BBM N VICE PResident SARA♥️💚👊✌️isang tulog na lng My president! 🥰♥️💚👊✌️,0.2,Neutral - no clear amplification indicators
7095109675477533442,Iboto po nten bbm sarrah para makapag cebu kmi🥰 pusta ng asawa ko saken hahaha,0.8,"Location targeting: ""cebu"""
7095072902206276354,Ano ba yan sa intro palang naiyal na ako 💞,0.1,Substantial text - appears genuine
7095059271527875329,sana xa manalo 🙏,0.2,Neutral - no clear amplification indicators
7095106430805754626,Nakakaiyak naman 😭 ipagppray namin na manalo ka BBM 🙏🙏🙏 God bless you 😇,0.8,"Emotional manipulation: ""nakakaiyak"""
7095111653817205506,"Bsta nagsasalita ka pap's naninindig balahibo 🥰🥰
We love u pap's 🥰🥰",0.2,Neutral - no clear amplification indicators
7095105068068438785,ipagdasal Kita 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,1.0,Excessive emojis (12) - algorithmic trigger
7095111598842790658,wla na panalo na talaga sya papa BBM😅💚❤️,0.2,Neutral - no clear amplification indicators
7095109608003896065,yes cgurado n tyo jan wag lng tlga dadayain,0.1,Substantial text - appears genuine
7095111785774220033,i-ready na ang generator di tayo cgurado sa meralco! walang tulugan talaga yan protektahan natin BBM-Sara Uniteam!💚❤✌👊🇵🇭,0.2,Neutral - no clear amplification indicators
7095112514404614913,Wlng mattulog at wag mag bbrownout,0.15,Moderate text length - likely genuine
7095111071081972482,Naiiyak ako sobrang excited ko na pong masaksihan bilang isang first time na botante may matapang na leader at totoo,0.8,"Emotional manipulation: ""naiiyak"""
7095100362344334081,Omg nakakakilabot! ❤️💚❤️💚,0.8,"Emotional manipulation: ""nakakakilabot"""
7095112176847061762,"habang pinapanuod ko naluluha ako sa galak , sobrang,saya ng puso ko, God bless you BBM 🥰😭✌️✌️☺️",0.2,Neutral - no clear amplification indicators
7095109456593535745,uuwi ako ng pilipinas na marcos ang presidente 🥰🥰🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095111268620976898,"bakit ako naiiyak , overwhelming tlga",0.8,"Emotional manipulation: ""naiiyak"""
7095105843699745537,Sana naman po lord bigyan mo po kami ng tamang tao para mag lead sa bansang ito kagaya po ng pinanlo nyo po si tatayd,0.1,Substantial text - appears genuine
7095111397880742658,Pag introduce palang ni toni maka hilak na 🥰,0.15,Moderate text length - likely genuine
7095110293184955138,nakakakilabot grave ang saya lord sana ito n ung panalo🙏🙏🙏🙏🙏🙏🙏🙏🙏,0.8,"Emotional manipulation: ""nakakakilabot"""
7095111851121984257,galing ni Toni G 😍😍😍,0.2,Neutral - no clear amplification indicators
7095093187450241793,nakakaiyak naman..❤💚❤💚,0.8,"Emotional manipulation: ""nakakaiyak"""
7095112566103573250,ito ttoo rally ung kabila asap lht artista andon😂,0.1,Substantial text - appears genuine
7095095115634672386,Naiiyak ako ng madinig to! Congratulations in advance!,0.8,"Emotional manipulation: ""naiiyak"""
7095061951084675841,walang tulogan😅😂🥰.salamat ka uniteam🥰,0.2,Neutral - no clear amplification indicators
7095095198434771714,Naiiyak ako 🥰🥰🥰🥰🥺🥺🥺🥺,0.8,"Emotional manipulation: ""naiiyak"""
7095110940676375297,Naiiyak ako hindi ko alam bakit. I'm 20 yrs old and damang dama ko na kapag nanalo si BBM magbabago na ang Pilipinas🥺,0.8,"Emotional manipulation: ""naiiyak"""
7095111877130339074,nakakaiyak🥰,0.8,"Emotional manipulation: ""nakakaiyak"""
7095105579513053954,wag na po tayo matutulog para hindi na madaya uli ...kahit minsan hindi ko narinig nanira ng kalaban,0.1,Substantial text - appears genuine
7095111097111692034,Patunayan mo na MALI lahat ng sinasabi nila tungkol kay Apo Lakay at sa Buong Pamilya mo ❤💚,0.1,Substantial text - appears genuine
7095070984830976769,sure win na po yan bbm sarah.❤️❤️❤️❤️❤️💚💚💚💚💚🥰🥰🥰👏👏👏👏👏,1.0,Excessive emojis (18) - algorithmic trigger
7095098896464757506,galing ni toni🥰🥰 wow👆👆,0.67,"High emoji-to-text ratio (4 emojis, 4 words)"
7095110012922200833,goosebumps . panalo kana tatay bbm 🥰🥰,0.8,"Emotional manipulation: ""goosebumps"""
7095099523269903105,ipanalo natin si APO BBM at Inday Sara mahalin natin Ang Pilipinas Mabuhay 🇵🇭♥️💚✌️👊,0.2,Neutral - no clear amplification indicators
7095100813722534658,Nakakiyak ..!!!,0.2,Neutral - no clear amplification indicators
7095110319848801026,yeeees panalo kana my PRESIDENT BBM ♥️,0.15,Moderate text length - likely genuine
7095110707674825474,naiiyak ako kahit replay lang,0.8,"Emotional manipulation: ""naiiyak"""
7095091884137382657,baka may umiiyak nanaman😂😂😂😂😂,0.67,"High emoji-to-text ratio (5 emojis, 4 words)"
7095105261828489985,naiyak ako sa saya...❤️💚,0.15,Moderate text length - likely genuine
7095109810358256385,toni vs buong channel 2 hhhaa😅😅😂😂😂toni sakalam BBM solid,0.2,Neutral - no clear amplification indicators
7095107186124571393,magaling talaga si toni🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095108296100791041,grabe ka toni.. hindi lang ako kinikilabutan..natulo p luha ko🥰🥰🥰 SOLIDDD BBMSARA PO KAMI PASAY HERE,0.8,"Emotional manipulation: ""grabe"""
7095103722929685249,Nakita namin sya apaka class talaga promise🥺🥺🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095083384829641473,🥰🥰🥰🥰nakakaiyak,0.8,"Emotional manipulation: ""nakakaiyak"""
7095111877826757378,Bravo Toni ang galing mo.❤️💚,0.15,Moderate text length - likely genuine
7095109119526945537,kinikilabutan aq ang saya promise!!!🥰🥰🥰🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095112960272155394,BBM N SARA SOLID PO..,0.15,Moderate text length - likely genuine
7095065888789611265,"Imagine how happy his father now🥺.. ""Son its the right time"" ✌🏻",0.1,Substantial text - appears genuine
7095100447962891010,"malinis na kampanya!!
A leader who don't bring down others just to lift themselves up .. From the land of the pearl in Asia-- BBM- SD ❤️💚🇵🇭",0.2,Neutral - no clear amplification indicators
7038890881634026242,yan ang pres.@vp magkasundo .ndi ung siraan 😍😇❤❤💚💚✌👊,0.2,Neutral - no clear amplification indicators
7038888105961030402,ang cute 😂😂😂😂,0.67,"High emoji-to-text ratio (4 emojis, 2 words)"
7039554378000663298,gnyan dapat. paki tag c leni. hnd puro pannra at galit ang tnatanim sa tao,0.1,Substantial text - appears genuine
7039550136305124098,"maraming nagmamahal sayo, BBM🥰",0.2,Neutral - no clear amplification indicators
7039521713792566018,❤️❤️❤️,0.2,Neutral - no clear amplification indicators
7095095229841359618,Dont Forget ATTY.LARRY GADON for senator No.29 sa Balota♥️💚✌️👊,0.2,Neutral - no clear amplification indicators
7095104816904569602,THE SON OF TIGER OF ASIA WILL LEAD ONCE AGAIN THE 1702 ISLANDS OF THE PEARL OF OCEAN-BBM,0.1,Substantial text - appears genuine
7095082412664750849,world class...,0.2,Neutral - no clear amplification indicators
7095082300777480961,Wow🥰🥰🥰🥰,0.67,"High emoji-to-text ratio (4 emojis, 1 words)"
7095107036325036802,Victory party yarn ❤💚👊✌,0.67,"High emoji-to-text ratio (4 emojis, 3 words)"
7095107439079179009,"🙏🏻thank you lord😁😘 for the guide and love to the pilipino people, always in your heart...",0.2,Neutral - no clear amplification indicators
7095225569163428609,🥺❤️❤️,0.2,Neutral - no clear amplification indicators
7095081847893705474,CHANGE IS NIGH. I can feel it! Marcos is back for unity and love! THE RISE OF THE REPUBLIC OF THE PHILIPPINES!,0.1,Substantial text - appears genuine
7095239414720447233,Please dont forget to vote for Atty. Larry Gadon,0.1,Substantial text - appears genuine
7095266927668495105,wow love it🥰 BBM SARAH for the win bukas na❤️🙏,0.1,Substantial text - appears genuine
7095075635211191041,save the best for last🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095265470597120770,THE GOLDEN ERA IS COMING!!!!!!😭🙌💥💥,0.2,Neutral - no clear amplification indicators
7095299088665101057,meeting de avanci to victory party ✌️☕,0.15,Moderate text length - likely genuine
7095083198744527618,WE WIN AS ONE 🇵🇭☺️,0.2,Neutral - no clear amplification indicators
7095286197655864065,I'm proudly say I'm one of them,0.1,Substantial text - appears genuine
7095229900726649602,The giant country has realized . congrats to all Filipino all over the 🌎🌎 raise your flag Filipino ❤️,0.1,Substantial text - appears genuine
7095280998199837441,Edi si mark villar😁😁,0.2,Neutral - no clear amplification indicators
7095277129302344450,lovely..amazing🥰🥰🥰🥰🥰🥰,0.67,"High emoji-to-text ratio (6 emojis, 2 words)"
7095280009682240257,Straight vote for Uniteam,0.2,Neutral - no clear amplification indicators
7095080576067502849,BBM forever,0.2,Neutral - no clear amplification indicators
7095291010053456641,advance merry Christmas ❤️✌️❤️👊🇵🇭🇵🇭🇵🇭🇵🇭,1.0,Excessive emojis (12) - algorithmic trigger
7095350094560117505,wow🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095332335637807873,Advance celebration😄,0.2,Neutral - no clear amplification indicators
7095382099972621082,Nice🥰🥰🥰✌❤👊💚🇵🇭,1.0,High emoji count (9) minimal text
7095410370415919873,Victory party naba???,0.2,Neutral - no clear amplification indicators
7095354503062553345,❤💚 Let's go 👊🏿✌🏿,0.67,"High emoji-to-text ratio (6 emojis, 3 words)"
7095302223265006338,another successful event of Uniteam!🥰,0.15,Moderate text length - likely genuine
7095320873170830082,THIS IS REALLY A HISTORY IN THE MAKING! ❤️💚 GOD BLESS THE PHILIPPINES SPECIALLY BBM & SARA AND THE REAT OF THE UNITEAM🙏🙏🙏,0.2,Neutral - no clear amplification indicators
7095312910255244033,wow grabi firstime in history may pa fire works SA presidential meeting Di abansi.,0.1,Substantial text - appears genuine
7095283624697660162,ADVANCE VICTORY🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095367525286249217,BBM and Sarah soon leaders 🙏🙏🙏♥️✌️💚,0.2,Neutral - no clear amplification indicators
7095358537500705538,🥰🥰🥰🥰,0.67,"High emoji-to-text ratio (4 emojis, 0 words)"
7095351707529757442,💚❤️💚❤️💚❤️💚,1.0,High emoji count (7) minimal text
7095412307568313090,🥰 wow amazing. ganda🥰💚❤️🎉🎉🎉🎉,0.2,Neutral - no clear amplification indicators
7095299243397055233,wow🥰🥰🥰🥰🥰,0.67,"High emoji-to-text ratio (5 emojis, 1 words)"
7095451229442523906,♥️💚🙏🏻✌🏻,0.67,"High emoji-to-text ratio (6 emojis, 1 words)"
7095298664826422017,VICTORY OF UNITEAM🥰,0.2,Neutral - no clear amplification indicators
7095401026866004737,🥰🥰,0.3,Only emojis (2) no text
7095330507869356802,thank you PHILIPPINE DRAGON FIREWORKS TEAM,0.15,Moderate text length - likely genuine
7095320956972843777,❤️❤️❤️,0.2,Neutral - no clear amplification indicators
7095289228720440066,💚❤️,0.2,Neutral - no clear amplification indicators
7095278983252263681,advance victory party🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095277986156872449,victory fireworks 🥰,0.2,Neutral - no clear amplification indicators
7095288521258205953,"pyromusical, who? 😁🥰",0.2,Neutral - no clear amplification indicators
7095287879190512386,For the WIN❤️💚👊✌️,0.67,"High emoji-to-text ratio (4 emojis, 3 words)"
7095296349864461057,wow so amazing🥰🥰🥰🥰🇵🇭❤️💚❤️💚❤️✌️👊,1.0,Excessive emojis (13) - algorithmic trigger
7095373307155399425,Victory🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095365870993801985,this is history in the making. BBM SARA FOR 2022.,0.1,Substantial text - appears genuine
7095325493263844098,❤️💚❤️💚❤️💚,0.67,"High emoji-to-text ratio (6 emojis, 1 words)"
7095280591511339778,Victory Fireworks,0.2,Neutral - no clear amplification indicators
7095279197107028737,"WOW....
❤️💚❤️💚❤️💚❤️",0.2,Neutral - no clear amplification indicators
7095275327706612481,SURE WIN NA THISSSSSS BBM-SARA FOR THE WINNNNN!!!!!,0.1,Substantial text - appears genuine
7095268068502586113,Victory party❤️💚✨,0.2,Neutral - no clear amplification indicators
7095275238183387905,UNFORGETABLE,0.2,Neutral - no clear amplification indicators
7095297600060277506,victory party,0.2,Neutral - no clear amplification indicators
7095295706126254850,❤💚✌✊,0.67,"High emoji-to-text ratio (4 emojis, 0 words)"
7095293359404778242,The best ang ganda 10minute fireworksss,0.15,Moderate text length - likely genuine
7095292608104809218,Happy new year😂😂,0.2,Neutral - no clear amplification indicators
7095291354212729602,grabe the wonderful worlds of disney yung fire works@ ang galing amazing,0.8,"Emotional manipulation: ""grabe"""
7095288284645606146,Victory party 🤭❤️,0.2,Neutral - no clear amplification indicators
7095287995750204161,victory party de advance,0.2,Neutral - no clear amplification indicators
7095287718200460034,earlyyyy🍀❤❤❤❤,0.67,"High emoji-to-text ratio (5 emojis, 1 words)"
7095286953964864257,🥰,0.3,Only emojis (1) no text
7095286395505574658,❤💚❤💚❤💚❤💚❤💚,1.0,Excessive emojis (10) - algorithmic trigger
7095284825057280769,TRUEEEE,0.2,Neutral - no clear amplification indicators
7095284761593905922,disney land,0.2,Neutral - no clear amplification indicators
7095284763737162497,❤️💚✌️👊,0.67,"High emoji-to-text ratio (4 emojis, 1 words)"
7095286639328625409,❤️💚,0.2,Neutral - no clear amplification indicators
7095269054772069122,❤️💚🥰🥰🥰,0.67,"High emoji-to-text ratio (5 emojis, 1 words)"
7095296152836276993,goosebumps🥰,0.8,"Emotional manipulation: ""goosebumps"""
7095335832005624577,Wowwwwwwwww🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,1.0,Excessive emojis (15) - algorithmic trigger
7095396688336225026,BRING BACK MARCOS ✌️👊,0.2,Neutral - no clear amplification indicators
7095272368993846018,"d nayan meeting de advance😁🥰#VICTORY party na yan🥰🥰🥰🥰
#BBM for president🥰",0.2,Neutral - no clear amplification indicators
7095283814813598465,Wooow,0.2,Neutral - no clear amplification indicators
7095299134831739650,"Voting straight for UNITEAM🇵🇭
#BBMforPresident2022❤✌🏻🐅
#SARADU30forVP2022💚👊🏻🦅",0.2,Neutral - no clear amplification indicators
7095280148819755778,Victory party,0.2,Neutral - no clear amplification indicators
7095273949600826113,AMAZING ‼️❤️💚❤️💚✌️👊✌️👊,0.2,Neutral - no clear amplification indicators
7095271455369675521,🥰🥰🥰wooow,0.2,Neutral - no clear amplification indicators
7095267364694196993,"Its avictorious signnn na tooo,,",0.15,Moderate text length - likely genuine
7095305213192110849,victory foreworks bbm sarah ♥️♥️♥️for the win ✌️✌️✌️,0.2,Neutral - no clear amplification indicators
7095285683161776897,happy new year 😂,0.2,Neutral - no clear amplification indicators
7095394453443396354,Victory party naba to? ❤💚✌,0.2,Neutral - no clear amplification indicators
7095406159314027266,❤️💚,0.2,Neutral - no clear amplification indicators
7095270395665957633,Wow ❤️❤️❤️💚💚💚,0.67,"High emoji-to-text ratio (6 emojis, 2 words)"
7095332608032637697,after neto lockdown 😌😌,0.2,Neutral - no clear amplification indicators
7095327777876345602,🥰🥰🥰,0.3,Only emojis (3) no text
7095322916380476162,🥰🥰🥰🥰🥰,0.67,"High emoji-to-text ratio (5 emojis, 0 words)"
7095321798656410369,Wow😩❤️,0.2,Neutral - no clear amplification indicators
7095316897193116418,💚♥️,0.2,Neutral - no clear amplification indicators
7095330365526688514,❤️💚✌🏻👊🏻,0.67,"High emoji-to-text ratio (6 emojis, 1 words)"
7095305383799669506,Victory Party naba to?,0.2,Neutral - no clear amplification indicators
7095300236449301249,😲😲😲😲😲🥰🥰,1.0,High emoji count (7) minimal text
7095397372561457921,happy new year,0.2,Neutral - no clear amplification indicators
7095396265793716994,Victory fireworks,0.2,Neutral - no clear amplification indicators
7095270370571354882,Wow,0.2,Neutral - no clear amplification indicators
7095268830464901890,❤️💚,0.2,Neutral - no clear amplification indicators
7095336201351791362,wow 😳😳😳😳🥰,0.67,"High emoji-to-text ratio (5 emojis, 1 words)"
7095316483765191426,❤️💚✌🏻👊,0.67,"High emoji-to-text ratio (5 emojis, 1 words)"
7095311482711491330,Goosebumps 😱 victory party yarn❤️💚👊✌️,0.8,"Emotional manipulation: ""goosebumps"""
7095304158357570305,goosebumps 🥰 victory party na ba this. ❤💚✌👊 congrats in advanced our next president,0.8,"Emotional manipulation: ""goosebumps"""
7095309044483277570,😭😭😭😭😭😭😭😭,1.0,High emoji count (8) minimal text
7095393895957725954,🥰🥰🥰🥰VICTORY ❤️❤️❤️❤️💚💚💚💚💚,1.0,Excessive emojis (13) - algorithmic trigger
7095326495057101570,slay,0.2,Neutral - no clear amplification indicators
7095343611981726466,I love the way they sang TITANIUM TOGETHER 🥺,0.1,Substantial text - appears genuine
7095358537274475266,THE VICTORY ☝️🤝👊✌️♥️💚,0.67,"High emoji-to-text ratio (5 emojis, 3 words)"
7095509746220352258,🥰🥰🥰🥰,0.67,"High emoji-to-text ratio (4 emojis, 0 words)"
7095505184075432705,VICTORY PARTY NA🥰🥰🥰🎉🥳🎉🥳,0.67,"High emoji-to-text ratio (5 emojis, 3 words)"
7095076641764557569,PANG DISNEY LAND NAYAN FIREWORKS NAYAN 😁🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095103376052142849,nakakaiyak sobra 🥺🥰,0.8,"Emotional manipulation: ""nakakaiyak"""
7095083819027432194,Grabe ♥️💚♥️💚♥️💚✌🏻👊 wala na kong masabi kundi Apo BBM at Madam Inday Sara maraming salamat at madami kayong napasayang pilipino 🥰🥺,1.0,Excessive emojis (10) - algorithmic trigger
7095085036147655425,Philippine history it is 🥰🥰❤️💚❤️❤️team bahay. Godbless uniteam❤️💚 philippines,0.2,Neutral - no clear amplification indicators
7095095375778120449,Fireworks palang yan pinagisipan na kung paano pagandahin yung pa kayang kinabukasan ng Pinas ang hindi basta sama2 kaya natin❤️✌️👊,0.1,Substantial text - appears genuine
7095077858888549122,"OMG Truth! pang world class level sa ganda mala Sydney at Dubai, walang sinabi yung kabila. 😏",0.1,Substantial text - appears genuine
7095081147373830913,Grabe pang opening ng olympics hindi pang miting de advance. Masyado ginalingan,0.8,"Emotional manipulation: ""grabe"""
7095079188805944065,Ganda para kang nasa Disney theme park,0.15,Moderate text length - likely genuine
7095103270024807169,wow parañaque tinalo nyo kaming taga davao🥰🥰,0.8,"Location targeting: ""davao"""
7095095214209368833,"I WAS HERE 🔥 KAKAKILABOT , MAY NANALO NA 💚♥️🐅🦅🇵🇭🇵🇭💪🏻✌️👊",1.0,Excessive emojis (12) - algorithmic trigger
7095093462978020097,"Ang swerte naman ng mga nandiyan, sulit ang pagod,, paano pa kaya sa Victory party ✌️👊❤️💚🇵🇭",0.2,Neutral - no clear amplification indicators
7095069614598046465,grabe ginalingan,0.8,"Emotional manipulation: ""grabe"""
7095125440024920833,pak na pak winner na,0.15,Moderate text length - likely genuine
7095090381058294529,Pang world class🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095079746081653505,pag di ka mapaluha sa oras na andyan sa rally. manhid na.,0.1,Substantial text - appears genuine
7095084730227606274,naiiyak iyak aq kanina habang nagvvideo .sobrang ganda. 🥺,0.8,"Emotional manipulation: ""naiiyak"""
7095083911448904449,Wow! nakaka proud maging BBM SARA UNITEAM!,0.15,Moderate text length - likely genuine
7095109134802289409,mabuhay ang pilipinas!🥰🥰🥰,0.2,Neutral - no clear amplification indicators
7095082099556336385,grabe Disneyland Philippines. ♥️💚🇵🇭,0.8,"Emotional manipulation: ""grabe"""
7095081206756770587,WOW PARANG OLYMPICS,0.2,Neutral - no clear amplification indicators
7095120451814490881,"Now we know kung bakit dyan ginanap ang Last Miting De Avance, para na rin sa malaPyroMusical na ganap 😁🥰",0.1,Substantial text - appears genuine
7095118436577608449,ANG GALING NG PROGRAM COORDINATOR NG UNITEAM..GALING NG DIREKTOR NITO,0.1,Substantial text - appears genuine
7095082429706486555,ADVANCE ANG CELEBRATION,0.2,Neutral - no clear amplification indicators
7095083171200369409,as in dabest fireworks show na nasaksihan ko ang Ganda ❤️,0.1,Substantial text - appears genuine
7095102832688956161,"whuaaa,🥰ang ganda nman🥰ngayon lng may paganyan sa lahat ng tumatakbong pres.at sa nnalong pres,iba k u tlga bbm/sara,ung buong bansa🥰🥰🥰🥰🥰",0.2,Neutral - no clear amplification indicators
7095112751513043713,"yung sa kabilang parlor nagkamali ng binili, red and green lumabas na kulay ng fireworks 🤦🤣😂",0.1,Substantial text - appears genuine
